Generation,TimeSeconds
178,5.696000
179,4.057000
180,5.470000
181,4.246000
182,5.174000
183,5.999000
184,4.099000
185,5.261000
186,2.691000
187,3.500000
188,4.953000
189,5.822000
190,5.075000
191,4.834000
192,3.607000
193,3.254000
194,3.824000
195,2.987000
196,4.879000
197,4.717000
198,3.870000
199,5.062000
200,3.044000
201,3.604000
202,2.733000
203,4.906000
204,3.910000
205,3.989000
206,5.351000
207,5.975000
208,5.973000
209,5.374000
210,2.497000
211,4.978000
212,5.988000
213,6.252000
214,5.530000
215,2.728000
216,4.507000
217,4.610000
218,4.091000
219,5.960000
220,7.421000
221,3.373000
222,4.600000
223,3.588000
224,5.594000
225,5.958000
226,2.810000
227,6.175000
228,4.754000
229,2.933000
230,4.167000
231,5.976000
232,5.099000
233,5.587000
234,4.299000
235,6.585000
236,5.546000
237,5.048000
238,5.578000
239,3.247000
240,4.429000
241,2.504000
242,4.295000
243,5.535000
244,3.573000
245,3.603000
246,4.620000
247,5.759000
248,4.445000
249,6.562000
250,4.307000
251,4.604000
252,3.577000
253,6.450000
254,2.981000
255,2.865000
256,3.462000
257,4.002000
258,3.521000
259,4.582000
260,5.993000
261,5.192000
262,5.679000
263,2.876000
264,5.312000
265,4.205000
266,5.400000
267,3.549000
268,4.519000
269,3.319000
270,5.839000
271,4.279000
272,4.493000
273,5.151000
274,5.645000
275,5.205000
276,5.341000
277,4.017000
278,3.651000
279,5.742000
280,5.282000
281,7.263000
282,2.860000
283,5.258000
284,3.418000
285,5.641000
286,2.194000
287,4.921000
288,5.977000
289,6.033000
290,2.857000
291,5.228000
292,3.406000
293,4.165000
294,3.957000
295,3.990000
296,4.344000
297,4.789000
298,4.377000
299,3.588000
300,4.128000
301,4.440000
302,4.811000
303,4.338000
304,7.366000
305,3.408000
306,3.973000
307,4.418000
308,3.911000
309,5.649000
310,3.894000
311,5.965000
312,4.665000
313,5.667000
314,4.498000
315,4.121000
316,4.613000
317,4.889000
318,4.065000
319,3.848000
320,4.921000
321,4.066000
322,9.150000
323,5.179000
324,7.516000
325,4.969000
326,5.090000
327,4.968000
328,5.055000
329,6.811000
330,5.295000
331,4.768000
332,3.639000
333,6.108000
334,5.548000
335,4.558000
336,6.582000
337,7.468000
338,6.385000
339,5.799000
340,5.599000
341,4.699000
342,5.327000
343,3.038000
344,2.914000
345,4.739000
346,5.051000
347,4.563000
348,4.153000
349,6.417000
